CustomerKey,GeographyKey,First Name,Last Name,Gender,DateFirstPurchse,Customer City
11032,35,Denise,Stone,Female,2021-02-18,Melbourne
11033,9,Jaime,Nath,Male,2021-02-15,Milsons Point
11034,12,Ebony,Gonzalez,Female,2021-02-01,North Sydney
11035,33,Wendy,Dominguez,Female,2021-02-06,Cranbourne
11036,343,Jennifer,Russell,Female,2023-01-22,National City
11037,49,Chloe,Garcia,Female,2023-01-20,Cliffside
11038,6,Diana,Hernandez,Female,2021-02-07,Lavender Bay
11039,19,Marc,Martin,Male,2021-02-07,Wollongong
11040,642,Jesse,Murphy,Male,2023-04-03,Tacoma
11041,325,Amanda,Carter,Female,2023-01-14,Glendale
11042,338,Megan,Sanchez,Female,2023-01-21,Los Angeles
11043,325,Nathan,Simmons,Male,2023-05-08,Glendale
11044,25,Adam,Flores,Male,2021-02-28,Hervey Bay
11045,8,Leonard,Nara,Male,2023-04-10,Matraville
11046,6,Christine,Yuan,Female,2021-02-06,Lavender Bay
11047,34,Jaclyn,Lu,Female,2021-02-03,Geelong
11048,39,Jeremy,Powell,Male,2021-02-10,Sunbury
11049,307,Carol,Rai,Female,2023-03-09,Chula Vista
11050,31,Alan,Zheng,Male,2021-02-20,Hobart
11051,21,Daniel,Johnson,Male,2023-12-29,Caloundra
11052,8,Heidi,Lopez,Female,2021-02-17,Matraville
11053,359,Ana,Price,Female,2023-01-17,San Diego
11054,34,Deanna,Munoz,Female,2021-02-03,Geelong
11055,22,Gilbert,Raje,Male,2021-01-31,East Brisbane
11056,10,Michele,Nath,Female,2021-02-26,Newcastle
11057,5,Carl,Andersen,Male,2021-02-22,Lane Cove
11058,29,Marc,Diaz,Male,2021-03-09,Findon
11059,27,Ashlee,Andersen,Female,2023-02-18,Townsville
11060,40,Jon,Zhou,Male,2021-03-19,Warrnambool
11061,23,Todd,Gao,Male,2021-03-13,Gold Coast
11062,547,Noah,Powell,Male,2023-01-07,Portland
11063,634,Angela,Murphy,Female,2023-01-12,Redmond
11064,315,Chase,Reed,Male,2023-01-25,Downey
11065,331,Jessica,Henderson,Female,2023-02-10,La Jolla
11066,543,Grace,Butler,Female,2023-05-31,Lebanon
11067,632,Caleb,Carter,Male,2023-08-18,Port Orchard
11068,40,Tiffany,Liang,Female,2023-04-30,Warrnambool
11069,23,Carolyn,Navarro,Female,2021-04-17,Gold Coast
11070,39,Willie,Raji,Male,2021-04-28,Sunbury
11071,24,Linda,Serrano,Female,2023-03-01,Hawthorne
11072,17,Casey,Luo,Female,2021-03-31,St. Leonards
11073,16,Amy,Ye,Female,2023-03-23,Springwood
11074,28,Levi,Arun,Male,2023-03-23,Cloverdale
11075,32,Felicia,Jimenez,Female,2021-04-28,Bendigo
11076,19,Blake,Anderson,Male,2021-04-21,Wollongong
11077,36,Leah,Ye,Female,2021-04-15,Melton
11078,49,Gina,Martin,Female,2023-02-15,Cliffside
11079,34,Donald,Gonzalez,Male,2023-03-15,Geelong
11080,30,Damien,Chander,Male,2021-04-10,Perth
11081,311,Savannah,Baker,Female,2023-02-12,Concord
11082,322,Angela,Butler,Female,2023-01-22,Fremont
11083,336,Alyssa,Cox,Female,2023-01-06,Lincoln Acres
11084,543,Lucas,Phillips,Male,2023-01-04,Lebanon
11085,345,Emily,Johnson,Female,2023-12-06,Newport Beach
11086,369,Ryan,Brown,Male,2023-07-02,Santa Monica
11087,307,Tamara,Liang,Female,2023-02-25,Chula Vista
11088,359,Hunter,Davis,Male,2023-01-13,San Diego
11089,337,Abigail,Price,Female,2022-12-29,Long Beach
11090,338,Trevor,Bryant,Male,2021-08-07,Los Angeles
11091,50,Dalton,Perez,Male,2023-01-29,Haney
11092,22,Cheryl,Diaz,Female,2021-04-08,East Brisbane
11093,19,Aimee,He,Female,2021-04-07,Wollongong
11094,33,Cedric,Ma,Male,2023-04-07,Cranbourne
11095,13,Chad,Kumar,Male,2021-04-01,Port Macquarie
11096,12,Andrés,Anand,Male,2021-04-11,North Sydney
11097,40,Edwin,Nara,Male,2021-04-04,Warrnambool
11098,14,Mallory,Rubio,Female,2023-02-11,Rhodes
11099,13,Adam,Ross,Male,2021-04-07,Port Macquarie
11100,28,Latasha,Navarro,Female,2021-04-16,Cloverdale
11101,33,Abby,Sai,Female,2021-04-29,Cranbourne
11102,18,Julia,Nelson,Female,2023-07-16,Sydney
11103,3,Cassie,Chande,Female,2021-04-15,Darlinghurst
11104,23,Edgar,Sara,Male,2021-05-04,Gold Coast
11105,8,Candace,Fernandez,Female,2021-05-14,Matraville
11106,40,Jessie,Liu,Male,2021-05-18,Warrnambool
11107,17,Bianca,Lin,Female,2021-05-01,St. Leonards
11108,13,Kari,Alvarez,Female,2021-05-03,Port Macquarie
11109,38,Ruben,Kapoor,Male,2021-05-10,South Melbourne
11110,3,Curtis,Yang,Male,2021-05-01,Darlinghurst
11111,34,Meredith,Gutierrez,Female,2021-05-20,Geelong
11112,25,Crystal,Wang,Female,2021-05-25,Hervey Bay
11113,30,Micheal,Blanco,Male,2023-02-01,Perth
11114,14,Leslie,Moreno,Female,2023-03-18,Rhodes
11115,17,Alvin,Cai,Male,2023-02-10,St. Leonards
11116,18,Clinton,Carlson,Male,2023-03-15,Sydney
11117,8,April,Deng,Female,2021-05-06,Matraville
11118,6,Alvin,Zeng,Male,2023-07-10,Lavender Bay
11119,13,Evan,James,Male,2023-02-03,Port Macquarie
11120,18,Beth,Jiménez,Female,2021-05-14,Sydney
11121,10,Orlando,Suarez,Male,2023-06-24,Newcastle
11122,12,Byron,Vazquez,Male,2023-02-21,North Sydney
11123,39,Philip,Alvarez,Male,2023-04-17,Sunbury
11124,40,Ross,Jordan,Male,2021-05-05,Warrnambool
11125,37,Dana,Navarro,Female,2023-01-31,Seaford
11126,11,Shaun,Carson,Male,2021-05-28,North Ryde
11127,361,Jan,Edwards,Female,2023-04-10,San Gabriel
11128,635,Samantha,Long,Female,2023-06-19,Renton
11129,638,Julia,Wright,Female,2021-08-06,Sedro Woolley
11130,543,Caroline,Russell,Female,2023-12-09,Lebanon
11131,50,Amanda,Rivera,Female,2023-10-18,Haney
11132,51,Melissa,Richardson,Female,2023-04-09,Langford
11133,542,Angela,Griffin,Female,2023-12-30,Lake Oswego
11134,30,Larry,Townsend,Male,2021-05-03,Perth
11135,302,Marcus,Harris,Male,2023-04-18,Burlingame
11136,53,Brianna,Morgan,Female,2023-01-03,Metchosin
11137,641,Jasmine,Taylor,Female,2023-07-31,Spokane
11138,325,Lauren,Davis,Female,2023-09-19,Glendale
11139,28,Tanya,Moreno,Female,2023-09-14,Cloverdale
11140,301,Javier,Alvarez,Male,2023-03-19,Burbank
11141,314,Nicole,Ramirez,Female,2023-05-16,Daly City
11142,51,Eduardo,Patterson,Male,2023-02-13,Langford
11143,334,Jonathan,Henderson,Male,2023-06-15,Lakewood
11144,607,Edward,Hernandez,Male,2023-01-25,Ballard
11145,536,Jasmine,Coleman,Female,2023-01-25,Beaverton
11146,8,Karla,Goel,Female,2023-02-05,Matraville
11147,40,Ernest,Wu,Male,2021-05-13,Warrnambool
11148,22,Ross,Vazquez,Male,2023-03-07,East Brisbane
11149,25,Theodore,Gill,Male,2023-06-04,Hervey Bay
11150,39,Russell,Shen,Male,2023-03-27,Sunbury
11151,18,Melinda,Gill,Female,2021-05-15,Sydney
11152,633,James,Williams,Male,2023-01-09,Puyallup
11153,635,Angela,James,Female,2023-03-29,Renton
11154,553,Megan,Walker,Female,2023-01-10,Woodburn
11155,301,Hunter,Robinson,Male,2023-01-06,Burbank
11156,334,Maria,Roberts,Female,2023-01-08,Lakewood
11157,642,Hannah,Long,Female,2023-07-24,Tacoma
11158,361,Jason,Wright,Male,2023-01-19,San Gabriel
11159,385,Brianna,Hughes,Female,2023-09-08,Woodland Hills
11160,311,Maurice,Tang,Male,2023-02-21,Concord
11161,311,Emily,Wood,Female,2023-06-01,Concord
11162,331,Chase,Cox,Male,2023-02-18,La Jolla
11163,372,Gabriel,Wang,Male,2023-05-01,Spring Valley
11164,374,Devin,Brooks,Male,2023-04-27,Torrance
11165,348,Jocelyn,Alexander,Female,2023-05-25,Oakland
11166,631,Ashley,Martinez,Female,2023-10-14,Olympia
11167,618,Jasmine,Barnes,Female,2023-01-07,Issaquah
11168,348,David,Rodriguez,Male,2023-01-15,Oakland
11169,312,Bryce,Richardson,Male,2023-05-26,Coronado
11170,612,Carol,Howard,Female,2023-08-26,Burien
11171,385,Jonathan,Hill,Male,2021-08-20,Woodland Hills
11172,626,Gabrielle,Adams,Female,2023-05-03,Lynnwood
11173,552,Sarah,Thomas,Female,2023-03-02,W. Linn
11174,338,Nicholas,Robinson,Male,2023-07-13,Los Angeles
11175,300,Luis,Wang,Male,2021-08-28,Beverly Hills
11176,50,Mason,Roberts,Male,2023-02-02,Haney
11177,359,Jose,Flores,Male,2023-03-29,San Diego
11178,334,Nathan,Johnson,Male,2023-02-21,Lakewood
11179,300,Molly,Rodriguez,Female,2023-03-12,Beverly Hills
11180,307,April,Anand,Female,2023-03-17,Chula Vista
11181,338,Devin,Martin,Male,2023-05-07,Los Angeles
11182,638,Stephanie,Torres,Female,2023-08-28,Sedro Woolley
11183,368,Jasmine,Lee,Female,2023-04-30,Santa Cruz
11184,311,Meghan,Hernandez,Female,2023-08-10,Concord
11185,53,Ashley,Henderson,Female,2023-02-21,Metchosin
11186,352,Sarah,Price,Female,2023-10-18,Palo Alto
11187,612,Jennifer,Cooper,Female,2023-04-03,Burien
11188,361,Catherine,Morris,Female,2023-11-01,San Gabriel
11189,609,Lawrence,Blanco,Male,2021-08-26,Bellingham
11190,300,Carson,Bryant,Male,2023-08-28,Beverly Hills
11191,310,Kristi,Perez,Female,2021-08-11,Colma
11192,637,James,Brown,Male,2023-06-23,Seattle
11193,553,Ian,Gray,Male,2023-02-25,Woodburn
11194,352,Jacqueline,Price,Female,2023-03-13,Palo Alto
11195,635,Megan,Henderson,Female,2023-04-14,Renton
11196,536,Alfredo,Romero,Male,2023-03-03,Beaverton
11197,637,Andrea,Morris,Female,2023-05-02,Seattle
11198,368,Brooke,Sanders,Female,2023-02-05,Santa Cruz
11199,302,Jacqueline,Bennett,Female,2023-03-18,Burlingame
11200,69,Jason,Griffin,Male,2023-02-07,Victoria
11201,369,Amanda,Foster,Female,2023-07-01,Santa Monica
11202,334,Alexia,Price,Female,2023-09-15,Lakewood
11203,60,Luis,Diaz,Male,2023-02-20,Port Hammond
11204,536,Destiny,Rivera,Female,2023-08-09,Beaverton
11205,612,Abby,Fernandez,Female,2023-07-27,Burien
11206,626,Blake,Flores,Male,2023-05-11,Lynnwood
11207,635,Danielle,Cox,Female,2023-01-31,Renton
11208,325,Maria,Reed,Female,2023-03-04,Glendale
11209,336,Allison,Evans,Female,2023-03-25,Lincoln Acres
11210,383,Edward,Wood,Male,2023-05-06,West Covina
11211,50,Samantha,Russell,Female,2023-02-01,Haney
11212,53,Chloe,Campbell,Female,2023-01-30,Metchosin
11213,614,Stephanie,Murphy,Female,2023-03-28,Edmonds
11214,545,Charles,Miller,Male,2023-08-14,Milwaukie
11215,62,Ana,Perry,Female,2023-02-15,Royal Oak
11216,547,Jasmine,Torres,Female,2021-08-15,Portland
11217,547,Natalie,Adams,Female,2021-08-10,Portland
11218,642,Olivia,Brown,Female,2023-02-28,Tacoma
11219,553,Charles,Cook,Male,2023-10-29,Woodburn
11220,310,Erica,Huang,Female,2023-03-14,Colma
11221,334,Nathan,Perry,Male,2023-04-07,Lakewood
11222,369,Alexandra,Rivera,Female,2023-11-01,Santa Monica
11223,52,Hailey,Patterson,Female,2023-01-29,Langley
11224,612,Tiffany,Li,Female,2021-08-07,Burien
11225,635,Madison,Lee,Female,2023-06-22,Renton
11226,552,Sydney,Ross,Female,2023-02-21,W. Linn
11227,310,Marshall,Chavez,Male,2021-08-03,Colma
11228,316,Ashley,Jones,Female,2023-10-25,El Cajon
11229,355,Adrian,Stewart,Male,2023-07-27,Redwood City
11230,369,Amber,Turner,Female,2023-07-16,Santa Monica
11231,611,Dennis,Zhang,Male,2023-02-10,Bremerton
11232,616,Hailey,Bryant,Female,2023-09-20,Everett
11233,299,Todd,Li,Male,2023-02-08,Berkeley
11234,337,Anna,Griffin,Female,2023-02-08,Long Beach
11235,607,Angel,Stewart,Male,2023-07-04,Ballard
11236,609,Jeremy,Butler,Male,2023-10-03,Bellingham
11237,161,Clarence,Anand,Male,2021-09-05,Solingen
11238,232,Mayra,Prasad,Female,2021-01-06,Birmingham
11239,249,Latoya,Goel,Female,2021-01-19,London
11240,273,Anne,Hernandez,Female,2021-02-27,Watford
11241,211,Lisa,Cai,Female,2022-09-10,Les Ulis
11242,209,Larry,Munoz,Male,2022-09-19,Versailles
11243,237,Robin,Alvarez,Female,2021-02-21,Esher-Molesey
11244,267,Alexis,Coleman,Female,2021-02-12,Runcorn
11245,132,Ricky,Vazquez,Male,2021-09-26,Hamburg
11246,147,Latasha,Rubio,Female,2021-10-03,Hamburg
11247,242,Claudia,Zhou,Female,2021-02-18,Lancaster
11248,223,Tristan,Alexander,Male,2023-07-14,Saint-Denis
11249,178,Cindy,Patel,Female,2021-10-09,Sulzbach Taunus
11250,276,Shannon,Liu,Female,2021-03-17,Woolston
11251,50,Xavier,Long,Male,2023-10-18,Haney
11252,335,Nicholas,Thompson,Male,2021-08-14,Lemon Grove
11253,69,José,Hernandez,Male,2023-03-01,Victoria
11254,612,Johnathan,Vance,Male,2023-11-23,Burien
11255,612,Colin,Lin,Male,2023-02-23,Burien
11256,626,Katelyn,Hernandez,Female,2023-04-15,Lynnwood
11257,345,Jacqueline,Powell,Female,2021-08-24,Newport Beach
11258,352,Xavier,Hill,Male,2023-05-21,Palo Alto
11259,548,Victoria,Stewart,Female,2021-09-04,Salem
11260,302,Katelyn,Kelly,Female,2023-02-05,Burlingame
11261,359,Stephanie,Collins,Female,2021-09-27,San Diego
11262,60,Jennifer,Simmons,Female,2023-02-27,Port Hammond
11263,612,Trinity,Richardson,Female,2021-08-29,Burien
11264,618,Eduardo,Martin,Male,2023-01-02,Issaquah
11265,623,Elizabeth,Jones,Female,2023-01-03,Kirkland
11266,632,Taylor,Howard,Female,2021-09-10,Port Orchard
11267,302,David,Diaz,Male,2021-09-17,Burlingame
11268,312,Katelyn,Carter,Female,2023-05-29,Coronado
11269,314,Ryan,Foster,Male,2023-08-22,Daly City
11270,334,Robert,Lee,Male,2021-09-10,Lakewood
11271,360,Danielle,Reed,Female,2021-09-27,San Francisco
11272,300,Lauren,Martinez,Female,2021-09-19,Beverly Hills
11273,331,Nathan,Lal,Male,2023-05-14,La Jolla
11274,609,Kyle,Foster,Male,2021-08-29,Bellingham
11275,310,Jenny,Rai,Female,2021-08-30,Colma
11276,49,Nancy,Chapman,Female,2023-01-29,Cliffside
11277,62,Charles,Jackson,Male,2023-02-02,Royal Oak
11278,614,Jonathan,Phillips,Male,2021-09-16,Edmonds
11279,616,Amanda,Cook,Female,2023-03-03,Everett
11280,626,Robert,Collins,Male,2023-07-01,Lynnwood
11281,301,Megan,Barnes,Female,2021-09-13,Burbank
11282,612,Christian,Thomas,Male,2021-08-31,Burien
11283,299,Arturo,Lal,Male,2023-05-29,Berkeley
11284,307,Theresa,Serrano,Female,2023-02-06,Chula Vista
11285,322,Jeremy,Anderson,Male,2023-07-27,Fremont
11286,374,Hunter,Griffin,Male,2021-09-21,Torrance
11287,49,Henry,Garcia,Male,2023-01-29,Cliffside
11288,301,Cindy,Sanchez,Female,2023-03-05,Burbank
11289,315,Maria,Carter,Female,2021-09-08,Downey
11290,334,Katelyn,Sanchez,Female,2021-09-20,Lakewood
11291,335,Jenna,Wright,Female,2021-09-04,Lemon Grove
11292,361,Seth,Phillips,Male,2021-09-15,San Gabriel
11293,632,Luke,Long,Male,2023-02-24,Port Orchard
11294,618,Dalton,Clark,Male,2023-09-25,Issaquah
11295,311,Taylor,Lewis,Female,2021-09-25,Concord
11296,616,Haley,Richardson,Female,2021-09-01,Everett
11297,301,Noah,Coleman,Male,2021-09-26,Burbank
11298,307,Jon,Luo,Male,2021-09-12,Chula Vista
11299,301,Orlando,Vazquez,Male,2021-09-26,Burbank
11300,54,Fernando,Barnes,Male,2023-01-31,N. Vancouver
11301,607,Cameron,Rodriguez,Male,2023-06-09,Ballard
11302,539,Spencer,Russell,Male,2021-09-06,Corvallis
11303,614,Julia,Coleman,Female,2021-09-02,Edmonds
11304,547,Julia,Garcia,Female,2023-03-20,Portland
11305,307,Sean,Evans,Male,2023-03-25,Chula Vista
11306,312,Micah,Zhou,Male,2023-06-30,Coronado
11307,314,Hunter,Rodriguez,Male,2021-09-04,Daly City
11308,546,Ian,Gonzales,Male,2023-09-07,Oregon City
11309,536,Victoria,Lewis,Female,2023-07-09,Beaverton
11310,360,Erin,Sanders,Female,2023-08-12,San Francisco
11311,626,Gabrielle,Lopez,Female,2023-04-18,Lynnwood
11312,626,Sara,Richardson,Female,2023-05-17,Lynnwood
11313,632,Trevor,Jenkins,Male,2023-05-07,Port Orchard
11314,618,Mya,Flores,Female,2023-02-25,Issaquah
11315,632,Hailey,Ward,Female,2023-05-20,Port Orchard
11316,51,Luke,Allen,Male,2023-01-12,Langford
11317,548,Victoria,Russell,Female,2021-09-01,Salem
11318,614,Jessica,Wilson,Female,2023-10-17,Edmonds
11319,348,Jade,Bailey,Female,2021-09-09,Oakland
11320,325,Morgan,Hill,Female,2023-06-15,Glendale
11321,612,Terrance,Raman,Male,2023-02-23,Burien
11322,611,Sydney,Garcia,Female,2023-03-24,Bremerton
11323,314,Jose,Patterson,Male,2021-09-10,Daly City
11324,325,Zachary,Anderson,Male,2021-09-26,Glendale
11325,637,Elijah,Ross,Male,2021-09-19,Seattle
11326,300,Rafael,Xie,Male,2021-09-15,Beverly Hills
11327,301,Jaime,Moreno,Male,2021-09-26,Burbank
11328,55,Julian,Griffin,Male,2023-01-05,Newton
11329,311,Andy,Alvarez,Male,2021-09-25,Concord
11330,59,Ryan,Thompson,Male,2023-02-12,Oak Bay
11331,63,Samantha,Jenkins,Female,2023-02-07,Shawnee
11332,153,Deanna,Ramos,Female,2021-10-15,Berlin
11333,261,Emily,Miller,Female,2021-03-21,Newcastle upon Tyne
11334,269,Nicole,Brown,Female,2021-03-04,Stoke-on-Trent
11335,120,Carla,Raman,Female,2021-10-23,Hof
11336,204,Shaun,Raji,Male,2022-09-27,Paris
11337,273,Jerome,Romero,Male,2021-03-09,Watford
11338,154,Frank,Navarro,Male,2021-10-11,Bonn
11339,202,Dennis,She,Male,2022-10-07,Paris
11340,192,Melody,Munoz,Female,2022-10-27,Paris
11341,236,Randy,Zeng,Male,2021-04-11,Cheltenham
11342,191,Marshall,Wang,Male,2023-07-12,Boulogne-sur-Mer
11343,264,Arthur,Carlson,Male,2021-04-04,Oxon
11344,262,Jessie,Jimenez,Female,2021-05-13,Oxford
11345,224,Robin,Ramos,Female,2022-10-22,Tremblay-en-France
11346,196,Deanna,Gutierrez,Female,2022-10-01,Paris
11347,156,Roy,Navarro,Male,2023-03-16,Braunschweig
11348,151,Shawn,Rai,Male,2023-03-31,Paderborn
11349,134,Mindy,Luo,Female,2024-01-13,München
11350,265,Cara,Zhou,Female,2023-02-05,Peterborough
11351,253,Anne,Ramos,Female,2021-06-12,London
11352,222,Raymond,Rodriguez,Male,2023-05-01,Pantin
11353,271,Carrie,Ortega,Female,2021-06-12,Warrington
11354,119,Deanna,Suarez,Female,2023-12-03,Grevenbroich
11355,275,Roberto,Gutierrez,Male,2023-09-26,Wokingham
11356,6,Terrence,Carson,Male,2021-05-10,Lavender Bay
11357,21,Ramon,Ye,Male,2021-06-18,Caloundra
11358,2,Cynthia,Malhotra,Female,2021-06-28,Coffs Harbour
11359,7,Jarrod,Prasad,Male,2021-06-13,Malabar
11360,26,Tyrone,Serrano,Male,2021-06-27,Rockhampton
11361,10,Cindy,Ramos,Female,2023-10-01,Newcastle
11362,33,Damien,Shan,Male,2023-03-29,Cranbourne
11363,35,Julian,Ross,Male,2021-06-08,Melbourne
11364,34,Jennifer,Collins,Female,2021-06-07,Geelong
11365,29,Brittney,Sun,Female,2021-05-31,Findon
11366,37,Virginia,Patel,Female,2023-06-24,Seaford
11367,12,Calvin,Nara,Male,2023-07-07,North Sydney
11368,26,Edward,Miller,Male,2021-06-24,Rockhampton
11369,29,Ashlee,Tang,Female,2023-07-05,Findon
11370,38,Alicia,Xu,Female,2023-07-13,South Melbourne
11371,26,Lacey,Jai,Female,2023-11-07,Rockhampton
11372,20,Wendy,Romero,Female,2021-06-07,Brisbane
11373,135,Carly,Luo,Female,2023-08-27,Salzgitter
11374,162,Jimmy,Ortega,Male,2023-04-15,Werne
11375,240,Francisco,Martinez,Male,2023-10-17,High Wycombe
11376,268,Lance,Vazquez,Male,2023-10-15,Liverpool
11377,161,David,Robinett,Male,2023-02-28,Solingen
11378,184,Shannon,Liang,Female,2022-10-17,Metz
11379,214,Gary,Vazquez,Male,2022-10-02,Boulogne-Billancourt
11380,175,Mitchell,Kumar,Male,2021-10-11,Saarlouis
11381,249,Meredith,Raman,Female,2021-06-12,London
11382,189,Edward,Patterson,Male,2022-11-03,Roubaix
11383,206,Marie,Gill,Female,2024-01-01,Roissy en Brie
11384,211,Tiffany,Wang,Female,2023-08-02,Les Ulis
11385,279,Miguel,Allen,Male,2023-07-06,York
11386,127,Jaclyn,Cai,Female,2023-11-02,Darmstadt
11387,238,Megan,Ramirez,Female,2021-07-26,Gateshead
11388,279,Joseph,Martin,Male,2021-07-03,York
11389,130,Karl,Shan,Male,2023-11-17,Duesseldorf
11390,208,Christine,Raji,Female,2023-11-07,Saint Germain en Laye
11391,135,Lindsay,Xie,Female,2023-10-26,Salzgitter
11392,131,Willie,Zhao,Male,2023-03-29,Frankfurt
11393,182,Kurt,Pal,Male,2023-07-16,Saint Ouen
11394,259,George,McDonald,Male,2021-07-04,Milton Keynes
11395,118,Beth,Gutierrez,Female,2021-11-14,Frankfurt
11396,175,Ian,Lopez,Male,2023-10-26,Saarlouis
11397,197,Latoya,Shan,Female,2023-07-07,Paris
11398,261,Colin,Nath,Male,2021-07-03,Newcastle upon Tyne
11399,202,Brenda,Mehta,Female,2023-04-13,Paris
11400,251,Franklin,Raji,Male,2021-07-15,London
11401,204,Linda,Navarro,Female,2022-10-28,Paris
11402,183,Kelli,Cai,Female,2022-11-07,Orleans
11403,179,Nancy,Schmidt,Female,2022-10-28,Saint Ouen
11404,133,Megan,Taylor,Female,2023-02-10,Kassel
11405,143,Bonnie,Goel,Female,2023-03-31,Bonn
11406,199,Latoya,Xu,Female,2022-11-04,Paris
11407,170,Mario,She,Male,2023-06-23,Münster
11408,257,Darren,Gill,Male,2023-03-05,London
11409,208,Jacqueline,Hayes,Female,2022-11-17,Saint Germain en Laye
11410,201,Maurice,Goel,Male,2022-11-13,Paris
11411,121,Devin,Ross,Male,2023-08-04,Ingolstadt
11412,121,Sydney,Bryant,Female,2021-11-05,Ingolstadt
11413,238,Megan,Stewart,Female,2021-08-10,Gateshead
11414,241,Ian,Richardson,Male,2021-08-13,Kirkby
11415,127,Randy,She,Male,2023-08-16,Darmstadt
11416,185,Katrina,Becker,Female,2022-11-07,Croix
11417,222,Lacey,Zheng,Female,2022-11-04,Pantin
11418,160,Rafael,Hu,Male,2023-12-17,Paderborn
11419,273,Kyle,Scott,Male,2023-03-12,Watford
11420,189,Jordan,Turner,Male,2022-11-01,Roubaix
11421,172,Amy,Sun,Female,2021-11-03,Offenbach
11422,268,Dustin,Deng,Male,2021-08-22,Liverpool
11423,147,Jasmine,Stewart,Female,2021-12-10,Hamburg
11424,164,Pamela,Garcia,Female,2023-04-21,Berlin
11425,184,Ariana,Gray,Female,2022-11-22,Metz
11426,156,Kristopher,Mehta,Male,2023-04-09,Braunschweig
11427,168,Desiree,Dominguez,Female,2021-12-20,Kiel
11428,173,Deanna,Perez,Female,2021-12-05,Poing
11429,218,Marco,Lopez,Male,2022-12-14,Sèvres
11430,155,Casey,Yuan,Female,2023-03-19,Bottrop
11431,120,Bryant,Garcia,Male,2021-12-21,Hof
11432,206,Dominique,Prasad,Female,2022-12-10,Roissy en Brie
11433,224,Maurice,Shan,Male,2022-12-02,Tremblay-en-France
11434,274,Andre,Lopez,Male,2023-06-15,West Sussex
11435,168,Robin,Romero,Female,2024-01-04,Kiel
11436,273,Taylor,Cox,Female,2023-05-22,Watford
11437,190,Alfredo,Moreno,Male,2023-12-19,Villeneuve-d'Ascq
11438,162,Jenny,Nara,Female,2023-02-05,Werne
11439,217,Janet,Munoz,Female,2022-11-29,Paris La Defense
11440,187,Sergio,Weber,Male,2023-03-27,Lille
11441,192,Erika,Gomez,Female,2024-01-08,Paris
11442,224,Joseph,Harris,Male,2023-09-29,Tremblay-en-France
11443,31,Grace,Griffin,Female,2021-06-07,Hobart
11444,32,Tina,Mehta,Female,2021-06-01,Bendigo
11445,15,Kari,Kim,Female,2021-06-06,Silverwater
11446,5,Bethany,Chander,Female,2021-06-18,Lane Cove
11447,25,Jennifer,Roberts,Female,2021-06-28,Hervey Bay
11448,35,Kyle,Patterson,Male,2021-06-16,Melbourne
11449,37,Alvin,Hu,Male,2021-06-19,Seaford
11450,28,Brett,Mehta,Male,2021-06-29,Cloverdale
11451,10,Ruben,Muñoz,Male,2021-07-29,Newcastle
11452,21,Erika,Rubio,Female,2021-07-11,Caloundra
11453,31,Stanley,Malhotra,Male,2021-07-15,Hobart
11454,35,Melinda,Navarro,Female,2021-07-31,Melbourne
11455,36,Ross,Sanz,Male,2021-07-01,Melton
11456,17,Jon,Gao,Male,2021-07-17,St. Leonards
11457,19,Jaime,Gutierrez,Female,2021-07-17,Wollongong
11458,16,Bianca,Liu,Female,2023-03-30,Springwood
